City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,nuku'alofa,-21.1333,-175.2,301.34,83,40,4.63,TO,1701463717
174,kuta,-8.7233,115.1723,299.12,88,75,1.54,ID,1701463717
175,guerrero negro,27.9769,-114.0611,292.86,55,21,8.27,MX,1701463717
176,palikir - national government center,6.9248,158.1611,299.62,83,100,3.09,FM,1701463717
177,palu,-0.8917,119.8707,297.0,95,73,1.57,ID,1701463718
178,edinburgh of the seven seas,-37.0676,-12.3116,286.68,74,100,7.48,SH,1701463654
179,kingston,17.997,-76.7936,305.68,64,20,9.77,JM,1701463424
180,haiku-pauwela,20.9219,-156.3051,298.8,78,40,7.72,US,1701463658
181,talnakh,69.4865,88.3972,251.04,90,100,2.58,RU,1701463719
182,toul,48.6667,5.9167,277.31,89,100,4.63,FR,1701463719
183,sitka,57.0531,-135.33,280.09,61,75,7.2,US,1701463719
184,gizo,-8.103,156.8419,301.07,80,100,3.34,SB,1701463720
185,paramonga,-10.6667,-77.8333,295.32,75,65,5.19,PE,1701463720
186,kone,-21.0595,164.8658,300.98,62,34,1.69,NC,1701463720
187,qamdo,31.1667,97.2333,266.78,53,65,1.89,CN,1701463720
188,dhuburi,26.0333,89.9667,292.14,62,87,3.15,IN,1701463721
189,kasaragod,12.5,75.0,297.91,89,89,2.17,IN,1701463721
190,klyuchi,52.2667,79.1667,271.01,81,97,6.55,RU,1701463687
191,iskateley,67.6803,53.1512,266.49,96,100,2.24,RU,1701463721
192,grand-lahou,5.1367,-5.0242,299.82,87,42,3.28,CI,1701463722
193,cabcaben,14.454,120.5914,300.93,81,35,6.9,PH,1701463722
194,kermit,31.8576,-103.0927,293.06,24,0,8.23,US,1701463722
195,lazaro cardenas,17.9583,-102.2,301.99,64,99,3.75,MX,1701463723
196,naze,28.3667,129.4833,287.66,65,97,6.16,JP,1701463723
197,sao vicente,-23.9631,-46.3919,303.25,54,75,2.57,BR,1701463570
198,hasaki,35.7333,140.8333,273.37,54,1,2.62,JP,1701463723
199,novaya igirma,57.1334,103.9112,264.83,95,100,2.91,RU,1701463723
200,kochubey,44.3861,46.5825,280.81,91,82,4.29,RU,1701463724
201,ambatofinandrahana,-20.55,46.8,289.92,90,100,0.45,MG,1701463724
202,banfora,10.6333,-4.7667,302.73,25,55,1.52,BF,1701463725
203,la ronge,55.1001,-105.2842,267.29,63,20,1.54,CA,1701463725
204,tchintabaraden,15.8969,5.7985,298.96,19,2,4.05,NE,1701463725
205,linden,6.0,-58.3,302.57,52,78,2.89,GY,1701463437
206,salmon arm,50.6998,-119.3024,274.77,75,100,0.51,CA,1701463726
207,baiyin,36.5583,104.2081,271.15,49,7,0.29,CN,1701463726
208,sorong,-0.8833,131.25,299.36,86,100,2.98,ID,1701463726
209,happy valley-goose bay,53.3168,-60.3315,271.32,86,75,1.03,CA,1701463726
210,tshabong,-26.05,22.45,302.15,22,0,5.25,BW,1701463727
211,ponta delgada,37.7333,-25.6667,290.48,59,40,3.6,PT,1701463727
212,udachny,66.4167,112.4,246.33,96,100,4.89,RU,1701463667
213,kokopo,-4.352,152.2633,299.23,84,100,1.12,PG,1701463728
214,jijel,36.8205,5.7667,296.12,13,100,7.2,DZ,1701463728
215,afaahiti,-17.75,-149.2833,303.08,83,50,7.53,PF,1701463728
